stage_id,title,order,step_id,left,top,description,en_title,en_description,de_title,de_description,es_title,es_description,dk_title,dk_description,ru_title,ru_description
texas_holdem_flop,First player’s actions,2,texas_holdem_flop_2,61,10,The first person to act is the first active player seated to the left of the dealer. They have two options: check or place a bet.,First player’s actions,The first person to act is the first active player seated to the left of the dealer. They have two options: check or place a bet.,Mögliche Aktionen des ersten Spielers,Die erste Person mit Spielrecht ist der erste aktive Spieler links vom Dealer. Dieser Spieler hat zwei Optionen: Schieben oder Setzen.,Acción del primer jugador,La primera persona en actuar es el jugador activo que esté sentado a la izquierda del dealer. Tiene dos opciones: pasar o hacer una apuesta.,Første spillers handlemuligheder,"Den aktive spiller, der sidder nærmest på dealerens venstre side, skal foretage den første handling. Vedkommende har to muligheder: At checke eller placere en indsats.",Действия первого игрока,"Первым ходит первый активный игрок, сидящий слева от дилера. У него есть два варианта хода: сделать чек или ставку."
texas_holdem_flop,Check,3,texas_holdem_flop_3,78,10,"To check means to bet nothing. If the first player decides to check, the action passes, clockwise, to the next player.",Check,"To check means to bet nothing. If the first player decides to check, the action passes, clockwise, to the next player.",Schieben,"Schieben bedeutet, keinen Einsatz zu tätigen. Wenn der erste Spieler schiebt, dann geht das Spielrecht im Uhrzeigersinn an den nächsten aktiven Spieler weiter.
",Pasar,"Pasar es no apostar nada. Si el primer jugador decide pasar, la acción continúa en el sentido de las agujas del reloj al siguiente jugador.",Check,"At checke betyder at undlade at placere en indsats. Hvis den første spiller checker, går turen videre med uret til den næste spiller.",Чек,"Сделать чек означает отказаться делать ставку. Если первый игрок решает сделать чек, ход переходит по часовой стрелке к следующему игроку."
texas_holdem_flop,Initial bet amount,4,texas_holdem_flop_4,91,38,"The initial bet amount should equal or exceed the minimum bet amount, which is equal to the big blind. All subsequent bets must equal or exceed that initial bet.",Initial bet amount,"The initial bet amount should equal or exceed the minimum bet amount, which is equal to the big blind. All subsequent bets must equal or exceed that initial bet.",Eröffnungseinsatz,"Der erste Einsatz muss so hoch sein wie der minimale Einsatz, der dem Big Blind entspricht, oder höher. Alle nachfolgenden Einsätze müssen genauso hoch sein wie der erste Einsatz oder diesen übertreffen.
",Apuesta inicial,"La cantidad de la apuesta inicial tiene que ser igual o superior a la apuesta mínima, que es igual a la ciega grande. Todas las apuestas siguientes tienen que igualar o superar esa apuesta inicial.",Indledende indsatsstørrelse,"Størrelsen af den første indsats skal være lig med eller overstige den minimale indsatsstørrelse, hvilket svarer til big blind. Alle efterfølgende indsatser skal svare til eller overstige den første indsats.",Изначальная сумма ставки,"Изначальная сумма ставки должна быть равна или превышать минимальную сумму ставки, которая равна сумме большого блайнда. Все последующие ставки должны быть равны такой изначальной ставке или превышать ее."
texas_holdem_flop,Other players’ actions,5,texas_holdem_flop_5,71,90,"After the initial bet is placed, all remaining players have four options: call, raise, fold or all-in.",Other players’ actions,"After the initial bet is placed, all remaining players have four options: call, raise, fold or all-in.",Mögliche Aktionen der anderen Spieler,"Nachdem der erste Einsatz getätigt wurde, haben alle nachfolgenden Spieler vier Optionen: Mitgehen, Erhöhen, Aussteigen oder All-In gehen.",Acción de lo otros jugadores,"Después de que se haya hecho la apuesta inicial, el resto de jugadores puede pagar, subir, tirarse o ir all-in. ",Andre spilleres handlemuligheder,"Efter den første indsats er placeret, har de øvrige spillere fire muligheder: De kan calle, raise, folde eller gå allin.",Действия других игроков,"Как только будет сделана изначальная ставка, у всех остальных игроков будет четыре варианта хода: уравнять ставку, поднять ставку, пасовать или пойти ва-банк."
texas_holdem_flop,End of betting,6,texas_holdem_flop_6,28,10,"The betting round ends when all players, who have not folded, have bet equal amounts in the pot. If all players decide to check in the current betting round, meaning there are no new bets, the pot remains the same as in the pre-flop round. If all players, except one, decide to fold in the current round, the player who has not folded wins the pot, and the betting round ends.",End of betting,"The betting round ends when all players, who have not folded, have bet equal amounts in the pot. If all players decide to check in the current betting round, meaning there are no new bets, the pot remains the same as in the pre-flop round. If all players, except one, decide to fold in the current round, the player who has not folded wins the pot, and the betting round ends.",Ende der Setzrunde,"Die Einsatzrunde endet, wenn alle Spieler, die nicht ausgestiegen sind, gleich hohe Einsätze in den Pot eingezahlt haben. Wenn alle Spieler in der aktuellen Einsatzrunde schieben, was bedeutet, dass es keine neuen Einsätze gibt, bleibt der Pot genauso hoch wie am Ende der Pre-Flop-Runde. Wenn alle bis auf einen Spieler in der aktuellen Einsatzrunde aussteigen, dann gewinnt der Spieler, der nicht ausgestiegen ist, den Pot und die Setzrunde endet.",Fin de las apuestas,"La ronda de apuestas termina cuando todos los jugadores, que no se han tirado, han puesto la misma cantidad en el bote. Si todos los jugadores han decidido pasar, significa que no hay nuevas apuestas y el bote sigue igual que en la ronda de apuestas pre-flop. Si todos los jugadores menos uno deciden tirarse en esta ronda, el jugador que no se ha tirado gana el bote y se termina la mano.",Afslutning af indsatsrunden,"Indsatsrunden slutter, når alle spillere, der ikke har foldet, har placeret lige store indsatser i puljen. Hvis alle spillere beslutter at checke i den aktuelle indsatsrunde, kommer der ingen nye indsatser, og puljen forbliver på samme niveau som efter preflop-runden. Hvis alle spillere undtagen én beslutter at folde i den aktuelle runde, vindes puljen af den spiller, der ikke har foldet, og indsatsrunden slutter.",Конец торгов,"Раунд торгов завершается, когда все игроки, которые не пасовали, внесли в банк одинаковые суммы. Если все игроки решили отказаться делать ставку в текущем раунде торгов (то есть новых ставок нет), банк остается таким же, как и в раунде префлопа. Если все игроки, за исключением одного, решили пасовать в текущем раунде, игрок, который не пасовал, выигрывает банк, а раунд торгов завершается."
texas_holdem_turn,"Turn
",1,texas_holdem_turn_1,22,50,The fourth face-up community card is dealt on the table.,"Turn
",The fourth face-up community card is dealt on the table.,Turn,Die vierte Gemeinschaftskarte wird offen auf dem Pokertisch ausgelegt.,Turn,"La cuarta carta comunitaria que sale boca arriba en la mesa.",Turn,Det fjerde fælleskort lægges på bordet med billedsiden opad.,Терн,На покерный стол в открытую сдается четвертая общая карта.
texas_holdem_turn,First player’s actions,2,texas_holdem_turn_2,61,10,"The first person to act is the first active player to the left of the dealer. They have two options: check or bet. If the first player decides to check (bets nothing), the action passes clockwise to the next player.",First player’s actions,"The first person to act is the first active player to the left of the dealer. They have two options: check or bet. If the first player decides to check (bets nothing), the action passes clockwise to the next player.",Mögliche Aktionen des ersten Spielers,"Die erste Person mit Spielrecht ist der erste aktive Spieler links vom Dealer. Dieser Spieler hat zwei Optionen: Schieben oder Setzen. Wenn sich der erste Spieler entscheidet zu schieben (d. h. keinen Einsatz zu tätigen), geht das Spielrecht im Uhrzeigersinn an den nächsten Spieler über.",Acción del primer jugador,"El primer jugador en actuar es el primero que quede activo a la izquierda del dealer. Tiene dos opciones: pasar o apostar. Si decide pasar, la acción continúa, en el sentido de las agujas del reloj, al siguiente jugador.",Første spillers handlemuligheder,"Den aktive spiller, der sidder nærmest på dealerens venstre side, skal foretage den første handling. Vedkommende har to muligheder: At checke eller placere en indsats. Hvis den første spiller checker (ikke placerer nogen indsats), går turen videre med uret til den næste spiller.",Действия первого игрока,"Первым ходит первый активный игрок слева от дилера. У него есть два варианта хода: сделать чек или ставку. Если первый игрок решает сделать чек (отказаться делать ставку), ход переходит по часовой стрелке к следующему игроку."
texas_holdem_turn,Other players’ actions,3,texas_holdem_turn_3,91,53,"After the initial bet is placed, the players have the same options as in the previous rounds: call, raise, fold or go all-in.",Other players’ actions,"After the initial bet is placed, the players have the same options as in the previous rounds: call, raise, fold or go all-in.",Mögliche Aktionen der anderen Spieler,"Nachdem der erste Einsatz getätigt wurde, haben die Spieler dieselben Optionen wie in den beiden vorherigen Setzrunden: Mitgehen, Erhöhen, Aussteigen oder All-In gehen.",Acción del resto de jugadores,"Una vez se haya hecho la apuesta inicial, los jugadores tienen las mismas opciones que en las rondas previas: pagar, subir, tirarse o ir all-in. ",Andre spilleres handlemuligheder,"Efter den første indsats er placeret, har de øvrige spillere de samme muligheder som i de tidligere runder: De kan calle, raise, folde eller gå allin.",Действия других игроков,"Как только будет сделана изначальная ставка, у всех остальных игроков будут те же варианты хода, что и в предыдущих раундах: уравнять ставку, поднять ставку, пасовать или пойти ва-банк."
texas_holdem_turn,End of betting,4,texas_holdem_turn_4,28,10,"The betting round ends when all players, who have not folded, have placed equal amounts in the pot. If all players decide to check in the current betting round, meaning there are no new bets, the amount in the pot remains the same as after the flop betting round. If all players, except one, decide to fold in the current round, the player who has not folded wins the pot, and the betting round ends.",End of betting,"The betting round ends when all players, who have not folded, have placed equal amounts in the pot. If all players decide to check in the current betting round, meaning there are no new bets, the amount in the pot remains the same as after the flop betting round. If all players, except one, decide to fold in the current round, the player who has not folded wins the pot, and the betting round ends.",Ende der Setzrunde,"Die Einsatzrunde endet, wenn alle Spieler, die nicht ausgestiegen sind, gleich hohe Einsätze in den Pot eingezahlt haben. Wenn alle Spieler in der aktuellen Einsatzrunde schieben, was bedeutet, dass es keine neuen Einsätze gibt, bleibt der Betrag im Pot genauso hoch wie am Ende der Flop-Setzrunde. Wenn alle bis auf einen Spieler in der aktuellen Einsatzrunde aussteigen, dann gewinnt der Spieler, der nicht ausgestiegen ist, den Pot und die Setzrunde endet.",Fin de las apuestas,"La ronda de apuestas termina cuando todos los jugadores, que no se han tirado, han puesto la misma cantidad en el bote. Si todos los jugadores han decidido pasar, significa que no hay nuevas apuestas y el bote sigue igual que en la ronda de apuestas del flop. Si todos los jugadores menos uno deciden tirarse en esta ronda, el jugador que no se ha tirado gana el bote y se termina la mano.",Afslutning af indsatsrunden,"Indsatsrunden slutter, når alle spillere, der ikke har foldet, har placeret lige store indsatser i puljen. Hvis alle spillere beslutter at checke i den aktuelle indsatsrunde, kommer der ingen nye indsatser, og puljen forbliver på samme niveau som efter flop-runden. Hvis alle spillere undtagen én beslutter at folde i den aktuelle runde, vindes puljen af den spiller, der ikke har foldet, og indsatsrunden slutter.",Конец торгов,"Раунд торгов завершается, когда все игроки, которые не пасовали, внесли в банк одинаковые суммы. Если все игроки решили отказаться делать ставку в текущем раунде торгов (то есть новых ставок нет), сумма в банке остается такой же, как и после флоп-раунда торгов. Если все игроки, за исключением одного, решили пасовать в текущем раунде, игрок, который не пасовал, выигрывает банк, а раунд торгов завершается."
texas_holdem_river,River,1,texas_holdem_river_1,77,50,The fifth and final face-up community card is dealt on the table.,River,The fifth and final face-up community card is dealt on the table.,River,Die fünfte und letzte Gemeinschaftskarte wird offen auf dem Pokertisch ausgelegt.,River,La quinta y última carta comunitaria sale boca arriba al centro de la mesa. ,River,Det femte og sidste fælleskort lægges på bordet med billedsiden opad.,Ривер,На покерный стол в открытую сдается пятая и последняя общая карта.
